"","nlcd","elevation","aspect","slope","x","y","aspect_categorical","animal_id","use"
"22604",6,2076.13256835938,149.577682495117,4.48705863952637,-1127670,1724430,"S","D12",0
"235641",6,2071.19360351562,132.722763061523,6.5105037689209,-1127670,1724370,"E","D12",0
"269181",7,2070.30517578125,107.668380737305,3.4984335899353,-1127850,1724160,"E","D12",0
"206891",6,2076.85888671875,108.2119140625,5.54972982406616,-1127520,1724550,"E","D12",0
"269182",7,2070.30517578125,107.668380737305,3.4984335899353,-1127850,1724160,"E","D12",0
"26921",7,2064.1865234375,101.283531188965,4.14959192276001,-1127760,1724160,"E","D12",0
"240441",6,2068.64624023438,122.66064453125,7.45777988433838,-1127670,1724340,"E","D12",0
"22122",6,2082.46875,139.268890380859,6.85244131088257,-1127730,1724460,"S","D12",0
"211662",6,2080.19213867188,140.099838256836,6.12221002578735,-1127610,1724520,"S","D12",0
"24042",7,2072.16235351562,189.332473754883,2.62107276916504,-1127730,1724340,"S","D12",0
"22126",6,2076.02197265625,137.077453613281,5.42703104019165,-1127610,1724460,"S","D12",0
"216431",6,2082.23315429688,130.96337890625,6.4016695022583,-1127700,1724490,"E","D12",0
"17330",7,2082.37841796875,131.186416625977,4.72534656524658,-1127490,1724760,"E","D12",0
"211642",6,2083.15454101562,150.61767578125,5.87170028686523,-1127670,1724520,"S","D12",0
"259621",7,2064.9501953125,149.982116699219,4.2892017364502,-1127730,1724220,"S","D12",0
"21645",6,2079.21020507812,147.530670166016,4.93526268005371,-1127640,1724490,"S","D12",0
"25957",7,2073.53125,95.2456970214844,4.37254953384399,-1127880,1724220,"E","D12",0
"17812",7,2078.3134765625,116.804023742676,4.59568738937378,-1127430,1724730,"E","D12",0
"26442",7,2063.12475585938,128.590911865234,3.46753263473511,-1127730,1724190,"E","D12",0
"24047",7,2062.79858398438,178.294479370117,3.23095011711121,-1127580,1724340,"S","D12",0
"22608",6,2070.29125976562,148.573791503906,6.62012338638306,-1127550,1724430,"S","D12",0
"16852",6,2080.8037109375,132.41455078125,4.08606338500977,-1127430,1724790,"E","D12",0
"197271",6,2084.39233398438,88.3739166259766,6.6967396736145,-1127580,1724610,"E","D12",0
"187671",6,2083.80249023438,90.7050247192383,6.14441728591919,-1127580,1724670,"E","D12",0
"197261",6,2087.78295898438,95.9765396118164,4.86808109283447,-1127610,1724610,"E","D12",0
"18769",6,2078.80737304688,127.000259399414,4.004967212677,-1127520,1724670,"E","D12",0
"22128",6,2073.43017578125,145.890518188477,6.10212707519531,-1127550,1724460,"S","D12",0
"197272",6,2084.39233398438,88.3739166259766,6.6967396736145,-1127580,1724610,"E","D12",0
